config,update_delay,mispredict_barrier,programs_complete,programs_total,retired_instructions,branches,taken,predicted_taken,correct,mispredictions,accuracy_pct,mispred_per_kinst,worst_program_accuracy_pct,alias_switches,alias_associated_misses,pht_bits,history_state_bits,lookup_xor_operands
BIMODAL,0,1,6,6,5765239364,1079314150,730250235,776077408,831563421,247750729,77.045541,42.973190,67.722437,256173,21874,512,0,1
GSHARE,0,1,6,6,5765239364,1079314150,730250235,743840805,864228446,215085704,80.072002,37.307333,72.061395,114272158,41915716,512,8,2
LAST_TARGET_BRANCH,0,1,6,6,5765239364,1079314150,730250235,733006684,870788711,208525439,80.679820,36.169433,70.565520,100619510,27812641,512,16,3
LAST_TARGET_ALL_CFI,0,1,6,6,5765239364,1079314150,730250235,736255151,868592186,210721964,80.476309,36.550428,71.090907,103503708,28362607,512,16,3
SOURCE_PATH_BRANCH,0,1,6,6,5765239364,1079314150,730250235,811599719,712500778,366813372,66.014216,63.625003,52.817912,610931384,258976503,512,16,3
SOURCE_PATH_ALL_CFI,0,1,6,6,5765239364,1079314150,730250235,815149114,708989117,370325033,65.688856,64.234112,62.896961,630608997,266655060,512,16,3
TARGET_PATH_BRANCH,0,1,6,6,5765239364,1079314150,730250235,826622730,686221157,393092993,63.579372,68.183291,52.961723,652525021,287456742,512,16,3
TARGET_PATH_ALL_CFI,0,1,6,6,5765239364,1079314150,730250235,827638121,686349026,392965124,63.591219,68.161112,52.942570,654350765,287436669,512,16,3
NEXT_PC_PATH_BRANCH,0,1,6,6,5765239364,1079314150,730250235,825012560,687033759,392280391,63.654661,68.042342,52.719480,649670454,286279975,512,16,3
NEXT_PC_PATH_ALL_CFI,0,1,6,6,5765239364,1079314150,730250235,825879072,685938975,393375175,63.553227,68.232236,52.474617,654359254,287921585,512,16,3
EDGE_PATH_BRANCH,0,1,6,6,5765239364,1079314150,730250235,825110098,687160745,392153405,63.666426,68.020316,55.610239,648252231,286234339,512,16,3
EDGE_PATH_ALL_CFI,0,1,6,6,5765239364,1079314150,730250235,825452085,687453730,391860420,63.693572,67.969497,55.348662,647238194,285864037,512,16,3
BIMODAL,2,1,6,6,5765239364,1079314150,730250235,776077408,831563421,247750729,77.045541,42.973190,67.722437,256173,21874,512,0,1
GSHARE,2,1,6,6,5765239364,1079314150,730250235,744109322,868761027,210553123,80.491952,36.521142,72.171718,107104287,37470649,512,8,2
LAST_TARGET_BRANCH,2,1,6,6,5765239364,1079314150,730250235,734005591,873566110,205748040,80.937150,35.687684,70.653123,93669115,23221872,512,16,3
LAST_TARGET_ALL_CFI,2,1,6,6,5765239364,1079314150,730250235,735632839,870995396,208318754,80.698969,36.133583,71.214237,98179452,25530202,512,16,3
SOURCE_PATH_BRANCH,2,1,6,6,5765239364,1079314150,730250235,811121358,713396213,365917937,66.097180,63.469687,54.610638,610890516,258187178,512,16,3
SOURCE_PATH_ALL_CFI,2,1,6,6,5765239364,1079314150,730250235,815464441,710368716,368945434,65.816678,63.994816,62.964947,629838036,265501147,512,16,3
TARGET_PATH_BRANCH,2,1,6,6,5765239364,1079314150,730250235,825932272,687995583,391318567,63.743775,67.875511,54.419249,651629399,285851260,512,16,3
TARGET_PATH_ALL_CFI,2,1,6,6,5765239364,1079314150,730250235,827036285,687403588,391910562,63.688926,67.978194,54.443071,653379463,286348992,512,16,3
NEXT_PC_PATH_BRANCH,2,1,6,6,5765239364,1079314150,730250235,824186285,688498996,390815154,63.790417,67.788192,53.448032,648726016,284807361,512,16,3
NEXT_PC_PATH_ALL_CFI,2,1,6,6,5765239364,1079314150,730250235,824917500,687366661,391947489,63.685504,67.984599,53.362814,653467668,286548744,512,16,3
EDGE_PATH_BRANCH,2,1,6,6,5765239364,1079314150,730250235,824704459,689026190,390287960,63.839262,67.696749,55.901137,647326747,284519903,512,16,3
EDGE_PATH_ALL_CFI,2,1,6,6,5765239364,1079314150,730250235,824333864,689574081,389740069,63.890025,67.601715,55.714286,646382711,283879555,512,16,3
BIMODAL,4,1,6,6,5765239364,1079314150,730250235,776077408,831563421,247750729,77.045541,42.973190,67.722437,256173,21874,512,0,1
GSHARE,4,1,6,6,5765239364,1079314150,730250235,749364904,869694437,209619713,80.578434,36.359238,72.761436,131269147,45912480,512,8,2
LAST_TARGET_BRANCH,4,1,6,6,5765239364,1079314150,730250235,756162925,857463090,221851060,79.445182,38.480806,70.366155,177324440,58429940,512,16,3
LAST_TARGET_ALL_CFI,4,1,6,6,5765239364,1079314150,730250235,755728427,855586174,223727976,79.271283,38.806364,71.238304,186855589,61361155,512,16,3
SOURCE_PATH_BRANCH,4,1,6,6,5765239364,1079314150,730250235,812456659,709555540,369758610,65.741336,64.135864,53.976909,613815680,261938397,512,16,3
SOURCE_PATH_ALL_CFI,4,1,6,6,5765239364,1079314150,730250235,816271935,705783800,373530350,65.391879,64.790085,62.218218,630234495,268400443,512,16,3
TARGET_PATH_BRANCH,4,1,6,6,5765239364,1079314150,730250235,825963361,687415368,391898782,63.690017,67.976151,53.897257,650485335,285809874,512,16,3
TARGET_PATH_ALL_CFI,4,1,6,6,5765239364,1079314150,730250235,827133806,687182139,392132011,63.668408,68.016605,53.899090,652338511,286129293,512,16,3
NEXT_PC_PATH_BRANCH,4,1,6,6,5765239364,1079314150,730250235,824227754,688167823,391146327,63.759733,67.845635,53.335923,646257882,284043768,512,16,3
NEXT_PC_PATH_ALL_CFI,4,1,6,6,5765239364,1079314150,730250235,824921119,688052246,391261904,63.749025,67.865682,53.279926,650641995,284855256,512,16,3
EDGE_PATH_BRANCH,4,1,6,6,5765239364,1079314150,730250235,823747971,688971180,390342970,63.834165,67.706290,54.867959,644704628,283420212,512,16,3
EDGE_PATH_ALL_CFI,4,1,6,6,5765239364,1079314150,730250235,824524475,688843658,390470492,63.822350,67.728409,54.854108,644677688,283442769,512,16,3
BIMODAL,6,1,6,6,5765239364,1079314150,730250235,737406817,829919692,249394458,76.893247,43.258301,67.367924,256173,21874,512,0,1
GSHARE,6,1,6,6,5765239364,1079314150,730250235,741291691,853694298,225619852,79.095998,39.134516,72.071880,143076687,51698561,512,8,2
LAST_TARGET_BRANCH,6,1,6,6,5765239364,1079314150,730250235,740242043,855054476,224259674,79.222020,38.898589,71.746588,151007146,48472258,512,16,3
LAST_TARGET_ALL_CFI,6,1,6,6,5765239364,1079314150,730250235,746557155,857263692,222050458,79.426707,38.515393,73.705834,162780655,52782442,512,16,3
SOURCE_PATH_BRANCH,6,1,6,6,5765239364,1079314150,730250235,799488426,714784841,364529309,66.225838,63.228825,58.286235,558436532,243187744,512,16,3
SOURCE_PATH_ALL_CFI,6,1,6,6,5765239364,1079314150,730250235,805150177,714892922,364421228,66.235852,63.210078,62.758780,578447536,249622678,512,16,3
TARGET_PATH_BRANCH,6,1,6,6,5765239364,1079314150,730250235,809923142,695260579,384053571,64.416887,66.615373,57.990576,589439743,264190763,512,16,3
TARGET_PATH_ALL_CFI,6,1,6,6,5765239364,1079314150,730250235,813483814,697373603,381940547,64.612662,66.248862,58.012075,598158983,265928897,512,16,3
NEXT_PC_PATH_BRANCH,6,1,6,6,5765239364,1079314150,730250235,808473775,696081758,383232392,64.492971,66.472937,57.454524,586620039,262753311,512,16,3
NEXT_PC_PATH_ALL_CFI,6,1,6,6,5765239364,1079314150,730250235,811667870,698385661,380928489,64.706431,66.073317,57.418525,597179114,264816139,512,16,3
EDGE_PATH_BRANCH,6,1,6,6,5765239364,1079314150,730250235,808541922,696249969,383064181,64.508556,66.443760,58.860350,585385305,262722201,512,16,3
EDGE_PATH_ALL_CFI,6,1,6,6,5765239364,1079314150,730250235,811345925,699328758,379985392,64.793810,65.909734,58.702281,591575012,263284633,512,16,3
